"","caseid","Leg_01","Leg_SameRights","Leg_DiscussProposals","Leg_AcceptDecisions","treat_ideol","treat_mod","treat_demo","PercDemnorm","threat","PercIdeol"
"268",1306499305,1,1,1,1,"right-wing","left/right wing","pro-democratic",4,4,4
"269",1306423957,1,1,1,1,"centre","centre","pro-democratic",6,4,3
"270",1306471179,1,1,1,1,"centre-right","moderate left/right","pro-democratic",NA,NA,4
"271",1306471603,0.611111111111111,0.5,0.666666666666667,0.666666666666667,"centre-left","moderate left/right","pro-democratic",4,4,2
"272",1306526129,1,1,1,1,"right-wing","left/right wing","anti-democratic",3,3,5
"273",1306447643,NA,NA,NA,NA,"left-wing","left/right wing","pro-democratic",NA,NA,NA
"274",1306448151,1,1,1,1,"right-wing","left/right wing","anti-democratic",7,1,5
"275",1306499229,1,1,1,1,"control","control","control",7,1,NA
"276",1306526059,0.5,0.333333333333333,0.666666666666667,0.5,"centre-left","moderate left/right","anti-democratic",5,3,2
"277",1306395165,1,1,1,1,"centre","centre","anti-democratic",7,1,2
"278",1306446431,NA,NA,NA,NA,"centre-left","moderate left/right","anti-democratic",NA,NA,NA
"279",1305906089,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,"left-wing","left/right wing","anti-democratic",5,3,NA
"280",1305725325,1,1,1,1,"right-wing","left/right wing","pro-democratic",6,5,5
"281",1306471199,1,1,1,1,"centre-right","moderate left/right","pro-democratic",7,1,4
"282",1306447325,1,1,1,1,"control","control","control",NA,NA,NA
"283",1306471193,1,1,1,1,"centre-left","moderate left/right","anti-democratic",3,3,4
"284",1306538469,1,1,1,1,"right-wing","left/right wing","anti-democratic",6,1,NA
"285",1306539617,0.5,0.5,0.5,0.5,"centre","centre","pro-democratic",4,4,NA
"286",1305906129,1,1,1,1,"centre-right","moderate left/right","anti-democratic",1,7,5
"287",1306447869,0.722222222222222,0.666666666666667,0.666666666666667,0.833333333333333,"left-wing","left/right wing","anti-democratic",4,4,4
"288",1306274965,1,1,1,1,"control","control","control",7,1,NA
"289",1306284139,1,1,1,1,"right-wing","left/right wing","anti-democratic",NA,NA,NA
"290",1306424045,0.555555555555556,0.666666666666667,0.5,0.5,"centre","centre","pro-democratic",5,4,2
"291",1306499197,0.777777777777778,0.666666666666667,0.833333333333333,0.833333333333333,"left-wing","left/right wing","pro-democratic",5,4,3
"292",1305989299,NA,NA,NA,NA,"right-wing","left/right wing","pro-democratic",NA,NA,NA
"293",1306545113,0.722222222222222,0.666666666666667,0.833333333333333,0.666666666666667,"left-wing","left/right wing","pro-democratic",4,2,2
"294",1306526063,NA,NA,NA,NA,"centre-left","moderate left/right","anti-democratic",NA,NA,NA
"295",1306179763,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,"left-wing","left/right wing","pro-democratic",7,1,3
"296",1305611725,NA,NA,NA,NA,"centre-left","moderate left/right","pro-democratic",3,1,NA
"297",1306539025,1,1,1,1,"centre-right","moderate left/right","anti-democratic",3,5,5
"298",1305905911,1,1,1,1,"right-wing","left/right wing","pro-democratic",4,1,5
"299",1305746131,1,1,1,1,"centre-left","moderate left/right","pro-democratic",NA,3,1
"300",1304254473,NA,NA,NA,NA,"right-wing","left/right wing","anti-democratic",NA,NA,5
"301",1306539423,1,1,1,1,"control","control","control",NA,NA,NA
"302",1306447615,1,1,1,1,"centre-right","moderate left/right","anti-democratic",4,3,2
"303",1306471211,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,"centre-right","moderate left/right","pro-democratic",4,4,4
"304",1306470927,0.888888888888889,1,1,0.666666666666667,"left-wing","left/right wing","anti-democratic",2,3,NA
"305",1306446889,1,1,1,1,"centre-right","moderate left/right","pro-democratic",6,2,NA
"306",1306558557,1,1,1,1,"right-wing","left/right wing","pro-democratic",NA,5,5
"307",1306250821,1,1,1,1,"centre-left","moderate left/right","anti-democratic",NA,NA,NA
"308",1306539681,NA,NA,NA,NA,"left-wing","left/right wing","anti-democratic",NA,NA,NA
"309",1305640463,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,"right-wing","left/right wing","anti-democratic",3,5,5
"310",1306539485,NA,NA,0.833333333333333,0.5,"left-wing","left/right wing","anti-democratic",NA,NA,5
"311",1306551203,1,1,1,1,"centre-left","moderate left/right","pro-democratic",7,1,2
"312",1306424157,1,1,1,1,"right-wing","left/right wing","anti-democratic",2,2,5
"313",1306471239,1,1,1,1,"control","control","control",7,4,NA
"314",1306085069,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,"centre-right","moderate left/right","pro-democratic",NA,NA,NA
"315",1306557961,0.5,0.5,0.5,0.5,"centre","centre","pro-democratic",1,4,3
"316",1306563863,0.5,0.5,0.5,0.5,"centre","centre","pro-democratic",5,4,5
"317",1306539549,1,1,1,1,"control","control","control",4,4,4
"318",1304532353,1,1,1,1,"centre-left","moderate left/right","anti-democratic",7,1,3
"319",1305959181,0.611111111111111,0.666666666666667,0.666666666666667,0.5,"centre-right","moderate left/right","anti-democratic",4,5,4
"320",1306471147,1,1,1,1,"left-wing","left/right wing","anti-democratic",6,2,1
"321",1305959463,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,"right-wing","left/right wing","anti-democratic",NA,NA,NA
"322",1306499117,0.944444444444444,0.833333333333333,1,1,"control","control","control",NA,3,3
"323",1306563793,0.888888888888889,1,0.833333333333333,0.833333333333333,"left-wing","left/right wing","pro-democratic",5,4,NA
"324",1306471169,NA,NA,NA,NA,"right-wing","left/right wing","pro-democratic",2,6,1
"325",1306375085,0.722222222222222,0.833333333333333,0.666666666666667,0.666666666666667,"centre","centre","anti-democratic",2,6,4
"326",1306447009,NA,NA,NA,NA,"centre-right","moderate left/right","pro-democratic",NA,NA,NA
"327",1303377055,NA,NA,NA,NA,"centre-right","moderate left/right","anti-democratic",NA,NA,NA
"328",1306395041,0.944444444444444,1,1,0.833333333333333,"centre-left","moderate left/right","pro-democratic",6,2,2
"329",1305834573,1,1,1,1,"centre-left","moderate left/right","anti-democratic",5,3,3
"330",1304210245,0.944444444444444,0.833333333333333,1,1,"centre-right","moderate left/right","anti-democratic",4,3,4
"331",1305834549,NA,NA,NA,NA,"right-wing","left/right wing","anti-democratic",NA,NA,NA
"332",1306057793,1,1,1,1,"right-wing","left/right wing","pro-democratic",6,1,5
"333",1306320761,0.944444444444444,1,1,0.833333333333333,"centre-left","moderate left/right","anti-democratic",4,3,1
"334",1306499227,1,1,1,1,"left-wing","left/right wing","anti-democratic",1,7,1
"335",1306179413,1,1,1,1,"centre","centre","pro-democratic",6,2,3
"336",1306448031,1,1,1,1,"centre-left","moderate left/right","pro-democratic",7,2,2
"337",1306423675,0.611111111111111,0.666666666666667,0.5,0.666666666666667,"left-wing","left/right wing","anti-democratic",5,3,NA
"338",1300593481,NA,NA,NA,NA,"centre-right","moderate left/right","anti-democratic",NA,NA,NA
"339",1305800235,0.944444444444444,0.833333333333333,1,1,"right-wing","left/right wing","pro-democratic",3,5,5
"340",1303682211,1,1,1,1,"centre","centre","pro-democratic",3,4,5
"341",1305884805,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,"centre","centre","anti-democratic",1,7,5
"342",1306446865,1,1,1,1,"centre","centre","anti-democratic",3,5,4
"343",1303659705,0.5,0.5,0.5,0.5,"centre","centre","pro-democratic",4,4,3
"344",1303241377,NA,0.833333333333333,1,NA,"left-wing","left/right wing","pro-democratic",NA,NA,4
"345",1306447711,NA,NA,NA,NA,"centre-right","moderate left/right","anti-democratic",NA,NA,NA
"346",1306563735,NA,NA,NA,NA,"centre-left","moderate left/right","anti-democratic",NA,NA,NA
"347",1306375131,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,"left-wing","left/right wing","anti-democratic",1,7,5
"348",1306423649,1,1,1,1,"centre-left","moderate left/right","pro-democratic",4,NA,NA
"349",1306374951,0.777777777777778,0.833333333333333,0.833333333333333,0.666666666666667,"centre-left","moderate left/right","anti-democratic",NA,NA,NA
"350",1306471473,1,1,1,1,"right-wing","left/right wing","pro-democratic",7,1,5
"351",1306539597,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,"centre-right","moderate left/right","pro-democratic",3,4,5
"352",1306525879,1,1,1,1,"centre","centre","pro-democratic",7,1,3
"353",1306591081,0.944444444444444,1,1,0.833333333333333,"centre-left","moderate left/right","anti-democratic",NA,NA,NA
"354",1306471491,1,1,1,1,"centre-left","moderate left/right","pro-democratic",6,2,2
"355",1306499599,1,1,1,1,"centre","centre","anti-democratic",2,4,2
"356",1305854651,1,1,1,1,"centre-left","moderate left/right","pro-democratic",4,4,2
"357",1306320651,0.444444444444444,0.5,0.333333333333333,0.5,"centre-right","moderate left/right","pro-democratic",4,4,3
"358",1303738435,1,1,1,1,"right-wing","left/right wing","anti-democratic",2,4,5
"359",1306424201,1,1,1,1,"control","control","control",NA,NA,NA
"360",1306447901,NA,NA,NA,NA,"left-wing","left/right wing","pro-democratic",NA,NA,NA
"361",1306085639,NA,NA,NA,NA,"centre-right","moderate left/right","anti-democratic",NA,1,NA
"362",1306057791,0.611111111111111,0.666666666666667,0.833333333333333,0.333333333333333,"centre-right","moderate left/right","pro-democratic",NA,NA,NA
"363",1306057655,NA,NA,0,NA,"centre","centre","anti-democratic",6,5,NA
"364",1305958851,0.888888888888889,1,0.833333333333333,0.833333333333333,"left-wing","left/right wing","pro-democratic",NA,3,NA
"365",1306526093,0.5,0.5,0.5,0.5,"left-wing","left/right wing","anti-democratic",4,4,NA
"366",1306395045,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,"centre","centre","anti-democratic",3,2,5
"367",1306585181,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,"centre","centre","anti-democratic",4,NA,NA
"368",1306446819,1,1,1,1,"control","control","control",4,4,NA
"369",1306565453,1,1,1,1,"control","control","control",7,1,2
"370",1306599249,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,"centre-right","moderate left/right","pro-democratic",3,5,5
"371",1306590897,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,"right-wing","left/right wing","pro-democratic",3,6,5
"372",1306565471,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,"centre-left","moderate left/right","anti-democratic",4,5,2
"373",1306538729,NA,NA,NA,NA,"centre-right","moderate left/right","pro-democratic",NA,NA,NA
"374",1306274947,NA,1,1,NA,"centre-right","moderate left/right","pro-democratic",6,2,4
"375",1306035097,1,1,1,1,"centre","centre","anti-democratic",5,3,NA
"376",1306251153,NA,NA,NA,NA,"centre","centre","pro-democratic",NA,NA,4
"377",1306446301,1,1,1,1,"right-wing","left/right wing","anti-democratic",7,2,5
"378",1306424005,1,1,1,1,"centre","centre","pro-democratic",NA,NA,3
"379",1306499519,1,1,1,1,"right-wing","left/right wing","anti-democratic",4,2,1
"380",1305834581,1,1,1,1,"centre-right","moderate left/right","anti-democratic",2,1,4
"381",1306618373,0.666666666666667,0.5,0.833333333333333,0.666666666666667,"left-wing","left/right wing","anti-democratic",4,3,1
"382",1305800261,1,1,1,1,"centre-right","moderate left/right","anti-democratic",NA,NA,NA
"383",1306618355,1,1,1,1,"right-wing","left/right wing","anti-democratic",1,5,5
"384",1306446885,1,1,1,1,"right-wing","left/right wing","pro-democratic",3,2,5
"385",1306008447,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,"centre-right","moderate left/right","pro-democratic",4,4,5
"386",1306395063,1,1,1,1,"centre-left","moderate left/right","pro-democratic",7,1,2
"387",1306539567,1,1,1,1,"left-wing","left/right wing","pro-democratic",NA,1,NA
"388",1306470973,0.944444444444444,1,1,0.833333333333333,"left-wing","left/right wing","anti-democratic",4,4,NA
"389",1306617723,NA,NA,NA,NA,"left-wing","left/right wing","pro-democratic",NA,NA,NA
"390",1306621799,0.333333333333333,0.5,0.166666666666667,0.333333333333333,"left-wing","left/right wing","pro-democratic",NA,NA,NA
"391",1306228833,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,"right-wing","left/right wing","anti-democratic",4,4,4
"392",1306192545,1,1,1,1,"left-wing","left/right wing","pro-democratic",NA,NA,NA
"393",1305800037,1,1,1,1,"right-wing","left/right wing","pro-democratic",3,7,5
"394",1303610951,1,1,1,1,"right-wing","left/right wing","pro-democratic",6,3,5
"395",1306539611,0.888888888888889,1,1,0.666666666666667,"centre-left","moderate left/right","pro-democratic",NA,2,2
"396",1306395091,0.888888888888889,1,1,0.666666666666667,"centre-left","moderate left/right","anti-democratic",4,4,NA
"397",1306526031,0.944444444444444,1,1,0.833333333333333,"centre-left","moderate left/right","pro-democratic",4,3,1
"398",1306349065,0.555555555555556,0.5,0.5,0.666666666666667,"centre-right","moderate left/right","anti-democratic",5,4,3
"399",1306471565,0.388888888888889,0.333333333333333,0.5,0.333333333333333,"left-wing","left/right wing","anti-democratic",3,4,2
"400",1306627979,0.5,0.5,0.5,0.5,"control","control","control",4,4,3
"401",1306395039,1,1,1,1,"centre","centre","pro-democratic",7,1,3
"402",1306471103,0.555555555555556,0.5,0.666666666666667,0.5,"right-wing","left/right wing","anti-democratic",5,5,NA
"403",1306625459,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,"centre-left","moderate left/right","anti-democratic",3,2,1
"404",1306642713,0.555555555555556,0.333333333333333,0.833333333333333,0.5,"centre","centre","anti-democratic",4,4,2
"405",1306642019,NA,NA,0.5,0.5,"right-wing","left/right wing","pro-democratic",NA,NA,3
"406",1304336707,NA,0.666666666666667,0.833333333333333,NA,"control","control","control",3,6,3
"407",1306228837,NA,NA,NA,NA,"centre-left","moderate left/right","pro-democratic",NA,NA,NA
"408",1306642173,0.444444444444444,0.333333333333333,0.5,0.5,"centre-right","moderate left/right","anti-democratic",4,1,NA
"409",1306641965,1,1,1,1,"centre-left","moderate left/right","anti-democratic",7,1,2
"410",1306646383,1,1,1,1,"centre","centre","pro-democratic",NA,1,3
"411",1306424013,1,1,1,1,"left-wing","left/right wing","pro-democratic",NA,NA,1
"412",1306423701,1,1,1,1,"left-wing","left/right wing","anti-democratic",4,4,5
"413",1306423875,0.5,0.5,0.5,0.5,"left-wing","left/right wing","anti-democratic",4,7,3
"414",1306034905,0,0,0,0,"centre","centre","anti-democratic",7,1,2
"415",1306375023,1,1,1,1,"centre-left","moderate left/right","anti-democratic",NA,NA,NA
"416",1306423803,NA,NA,NA,NA,"right-wing","left/right wing","anti-democratic",NA,NA,NA
"417",1306565319,0.5,0.5,0.5,0.5,"control","control","control",NA,NA,NA
"418",1306638607,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,"centre-right","moderate left/right","pro-democratic",4,4,NA
"419",1306628469,1,1,1,1,"left-wing","left/right wing","anti-democratic",4,2,2
"420",1306446917,1,1,1,1,"centre","centre","anti-democratic",5,1,3
"421",1306539367,1,1,1,1,"centre-left","moderate left/right","anti-democratic",NA,5,1
"422",1306349053,1,1,1,1,"right-wing","left/right wing","pro-democratic",NA,NA,NA
"423",1304532357,NA,NA,NA,NA,"left-wing","left/right wing","pro-democratic",NA,NA,5
"424",1303790209,0.944444444444444,1,1,0.833333333333333,"right-wing","left/right wing","anti-democratic",2,6,5
"425",1306035161,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,"centre","centre","pro-democratic",5,3,4
"426",1306539665,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,"left-wing","left/right wing","pro-democratic",4,5,1
"427",1306424155,NA,NA,NA,NA,"centre","centre","pro-democratic",NA,5,NA
"428",1305854137,1,1,1,1,"centre-right","moderate left/right","pro-democratic",3,1,4
"429",1306642727,0.944444444444444,1,1,0.833333333333333,"left-wing","left/right wing","anti-democratic",3,5,5
"430",1306598373,1,1,1,1,"control","control","control",7,1,3
"431",1305663823,0.833333333333333,1,0.833333333333333,0.666666666666667,"centre-right","moderate left/right","anti-democratic",4,5,5
